author,publication_year,author_year,review,N,age_group,study continent,c_malaria only,t,T,roa,,mortality_e,mortality_n,crt_mean,crt_sd,crt_n,pct_mean,pct_sd,pct_n,fct_mean,fct_sd,fct_n
van Hensbroek et al,1996,van Hensbroek et al 1996,e,576,c,Africa,Yes,AME,Artemether,IM,,59,288,,,,,,,,,
van Hensbroek et al,1996,van Hensbroek et al 1996,e,576,c,Africa,Yes,QN,Quinine,Parenteral,,62,288,,,,,,,,,
Murphy et al,1996,Murphy et al 1996,e,160,c,Africa,Yes,AME,Artemether,IM,,18,89,,,,,,,,,
Murphy et al,1996,Murphy et al 1996,e,160,c,Africa,Yes,QN,Quinine,Parenteral,,8,71,,,,,,,,,
Vihn et al,1997,Vihn et al 1997,e,180,a,Asia,No,ASU,Artesunate,Parenteral,,10,79,,,,,,,,,
Vihn et al,1997,Vihn et al 1997,e,180,a,Asia,No,AMI,Artemisinin,Rectal,,9,51,,,,,,,,,
Vihn et al,1997,Vihn et al 1997,e,180,a,Asia,No,AME,Artemether,IM,,5,45,,,,,,,,,
Phuong et al ,1997,Phuong et al 1997,s,109,c,Asia,No,ASU,Artesunate,Parenteral,,2,37,,,,,,,,,
Phuong et al ,1997,Phuong et al 1997,s,109,c,Asia,No,AMI,Artemisinin,Rectal,,4,37,,,,,,,,,
Phuong et al ,1997,Phuong et al 1997,s,109,c,Asia,No,QN,Quinine,Parenteral,,5,35,,,,,,,,,
Seaton et al,1998,Seaton et al 1998,e,33,a,South Pacific,No,AME,Artemether,IM,,1,15,,,,,,,,,
Seaton et al,1998,Seaton et al 1998,e,33,a,South Pacific,No,QN,Quinine,Parenteral,,3,18,,,,,,,,,
Taylor et al,1998,Taylor et al 1998,e,183,c,Africa,Yes,AME,Artemether,IM,,10,83,,,,,,,,,
Taylor et al,1998,Taylor et al 1998,e,183,c,Africa,Yes,QN,Quinine,Parenteral,,12,81,,,,,,,,,
Ojuawo et al,1998,Ojuawo et al 1998,e,37,c,Africa,Yes,AME,Artemether,IM,,1,18,12.5,5.8,18,,,,34.7,12.7,18
Ojuawo et al,1998,Ojuawo et al 1998,e,37,c,Africa,Yes,QN,Quinine,Parenteral,,3,19,17.4,7.2,19,,,,53.3,16.6,19
Olumese et al,1999,Olumese et al 1999,e,103,c,Africa,No,AME,Artemether,IM,,11,54,35.5,27.1,54,44.5,26.6,54,44.6,26.6,54
Olumese et al,1999,Olumese et al 1999,e,103,c,Africa,No,QN,Quinine,Parenteral,,14,49,42.4,31.6,49,42,22.8,49,51.3,25.6,49
Thuma et al,2000,Thuma et al 2000,a,92,c,Africa,Yes,ATE,Arteether,IM,,10,48,61,57.6,38,53,26.4,38,50,48.6,36
Thuma et al,2000,Thuma et al 2000,a,92,c,Africa,Yes,QN,Quinine,Parenteral,,9,44,44,44.9,35,57,24.1,34,33,19.9,35
Moyou-Somo et al,2001,Moyou-Somo et al 2001,a,102,c,Africa,Yes,ATE,Arteether,IM,,8,51,34.8,18.8,43,34.8,18.8,43,42.2,34.9,39
Moyou-Somo et al,2001,Moyou-Somo et al 2001,a,102,c,Africa,Yes,QN,Quinine,Parenteral,,14,51,30.3,28.9,37,30.3,28.9,37,45,26.7,36
Adam et al,2002,Adam et al 2002,e,41,c,Africa,No,AME,Artemether,IM,,0,20,12.5,5.2,15,16,9.2,20,30.5,20.9,20
Adam et al,2002,Adam et al 2002,e,41,c,Africa,No,QN,Quinine,Parenteral,,1,21,20,16.9,19,22.4,11.49,21,18,8.12,21
Satti et al,2002,Satti et al 2002,e,77,c,Africa,Yes,AME,Artemether,IM,,2,38,,,38,36,18,38,32,13,38
Satti et al,2002,Satti et al 2002,e,77,c,Africa,Yes,QN,Quinine,Parenteral,,3,39,,,39,41,12,39,36,18,39
Newton et al,2003,Newton et al 2003,s,113,a,Asia,No,ASU,Artesunate,Parenteral,,7,54,,,,,,,,,
Newton et al,2003,Newton et al 2003,s,113,a,Asia,No,QN,Quinine,Parenteral,,12,46,,,,,,,,,
Huda et al,2003,Huda et al 2003,e,46,c,Asia,No,AME,Artemether,IM,,5,23,34.8,8.2,23,40.9,8.4,23,44.5,7.7,23
Huda et al,2003,Huda et al 2003,e,46,c,Asia,No,QN,Quinine,Parenteral,,6,23,40.8,7,23,51.9,1.2,23,45.9,7.2,23
Mohanty et al,2004,Mohanty et al 2004,n,80,c,Asia,No,AME,Artemether,IM,,5,40,50.4,31.49,8,41.6,16.78,40,43.55,20.12,40
Mohanty et al,2004,Mohanty et al 2004,n,80,c,Asia,No,QN,Quinine,Parenteral,,8,40,70.15,17,8,52.24,12.69,40,62.23,16.99,40
Minta et al,2005,Minta et al 2005,e,67,c,Africa,No,AME,Artemether,IM,,4,33,30.57,29.02,33,45.5,20,33,45.5,20,33
Minta et al,2005,Minta et al 2005,e,67,c,Africa,No,QN,Quinine,Parenteral,,2,34,25.15,31.62,34,61.3,20,34,61.3,20,34
Dondorp et al a,2005,Dondorp et al a 2005,s,1461,b,Asia,No,ASU,Artesunate,Parenteral,,107,689,,,,,,,,,
Dondorp et al a,2005,Dondorp et al a 2005,s,1461,b,Asia,No,QN,Quinine,Parenteral,,164,693,,,,,,,,,
Haroon et al,2005,Haroon et al 2005,n,35,a,Asia,No,AME,Artemether,IM,,1,17,,,,,,,,,
Haroon et al,2005,Haroon et al 2005,n,35,a,Asia,No,QN,Quinine,Parenteral,,1,18,,,,,,,,,
Aguwa et al,2010,Aguwa et al 2010,e,90,c,Africa,No,AME,Artemether,IM,,7,44,,,,,,,,,
Aguwa et al,2010,Aguwa et al 2010,e,90,c,Africa,No,QN,Quinine,Parenteral,,6,46,,,,,,,,,
Phu et al,2010,Phu et al 2010,e,370,a,Asia,No,ASU,Artesunate,Parenteral,,13,186,,,,,,,,,
Phu et al,2010,Phu et al 2010,e,370,a,Asia,No,AME,Artemether,IM,,24,184,,,,,,,,,
Dondorp et al ,2010,Dondorp et al  2010,s,5425,c,Africa,No,ASU,Artesunate,Parenteral,,208,2563,,,,,,,,,
Dondorp et al,2010,Dondorp et al  2010,s,5425,c,Africa,No,QN,Quinine,Parenteral,,260,2552,,,,,,,,,
Eltahir et al,2010,Eltahir et al 2010,s,66,c,Africa,No,ASU,Artesunate,Parenteral,,1,33,8.1,,4,19.7,7.1,33,16.2,8.9,33
Eltahir et al,2010,Eltahir et al 2010,s,66,c,Africa,No,QN,Quinine,Parenteral,,2,33,9.1,,5,20.8,9.2,33,18.2,10.5,33
Osunuga et al P,2011,Osunuga et al  2011,e,32,c,Africa,No,AME,Artemether,IM,,0,16,4.5,13.5,3,,,16,31.5,14.45,16
Osunuga et al P,2011,Osunuga et al  2011,e,32,c,Africa,No,QN,Quinine,Parenteral,,0,16,9,24.59,2,,,16,46.5,6,16
Abdallah et al,2014,Abdallah  et al 2014,n,94,b,Africa,No,ASU,Artesunate,Parenteral,,1,47,9.6,2.1,3,16.5,6.4,47,10.8,5.5,47
Abdallah et al,2015,Abdallah  et al 2014,n,94,b,Africa,No,QN,Quinine,Parenteral,,0,47,8,0,5,21.7,11.3,47,14,8.1,47
Bobossi-Serengbe et al,2015,Bobossi-Serengbe et al 2015,e,212,c,Africa,No,AME,Artemether,IM,,3,108,,,,,,,,,
Bobossi-Serengbe et al,2015,Bobossi-Serengbe et al 2015,e,212,c,Africa,No,QN,Quinine,Parenteral,,2,104,,,,,,,,,
